Client_ID,Client_Name
310,Ipsos MORI
311,IRESS
312,ISIS Equity Partners
313,Islansbanki
314,ITG
315,ITM
316,J O Hambro Capital Management
317,Jake Pugh View
318,James Hay
319,Janus Henderson Investors
320,JAPAN BANK FOR INT'L COOPERATION
321,JAPAN POST BANK CO LTD.
322,Japan Trustee Services Bank Ltd
323,JCAP
324,Jefferies
325,JEFFERIES JAPAN LTD TOKYO
326,JETRO
327,Jetstone Asset Management
328,JFSC
329,JHC
330,JLT Group
331,JM Finn
332,Johannesburg Stock Exchange
333,Jordan Bank
334,JP Morgan
335,JP Morgan AM
336,JSCC
337,JT Global
338,Jupiter
339,Just Retirement
340,Kainos
341,Kames Capital
342,KAS Bank
343,Kaupthing
344,KDPW
345,Kedge Capital
346,Keler CCP ( Hungary )
347,Kenetic
348,KeyedIn
349,Kings College London - The UK in a Changing Europe
350,Kleinwort Hambros
351,Kleinwort Hambros (CI)
352,Knadel
353,Korea Exchange
354,KPEI
355,KRX
356,Kuwait Investment Office
357,Lancashire County Council
358,Lazard Asset Management
359,LCH
360,LCPF
361,Leadenhall Capital
362,Legg Mason
363,Letter One
364,LGPS Central
365,Linear Investments Limited
366,Link Asset Services
367,Liverpool Victoria
368,Livingbridge
369,Lloyds Banking Group
370,Lloyds Business Banking
371,LME
372,Local Pensions Partnership Investments Ltd
373,Loedstar S.A.
374,Lombard
375,Lombard Risk
376,London CIV
377,London Stock Exchange
378,Longview Partners
379,Macquarie Group
380,Man Group
381,Marathon Asset Management
382,MARS
383,Martin Currie
384,Maseco Private Wealth
385,Mattioli Woods
386,Mercer
387,Mercer Private Wealth
388,Mercuria Energy Trading SA
389,Merrill Lynch Japan Securities
390,Merval
391,Metrosoft
392,MGIM
393,MICEX
394,Minerva
395,Mirabaud Asset Management
396,Misland Capital
397,Mizuho Corporate Bank
398,Money on toast
399,Monitise
400,Moore Stephens
401,Morgan Stanley
402,MUFG
403,Munnypot
404,Murex
405,MUSI
406,NAB
407,Nasdaq OMX
408,National Australian Bank
409,National Grid
410,NatWest Markets
411,NCC Clearing Bank
412,NCCPL
413,Nedbank Private Wealth
414,Neuberger Berman
415,Neueda
416,Nevastar Finance
417,Nevsky Capital
418,New Access
419,Newedge
420,Newton Investment Management Limited
421,Nex
422,NG Clearing
423,Nigerian Stock Exchange
424,NN Investment Partners
425,NNIP
426,Noble Group
427,Nodal
428,Nomura
429,NOMURA ASSET MANAGEMENT
430,Nomura Research Institute
431,Nordic Investment Bank
432,Northern Trust Global Fund Services
433,Northern Trust Jersey
434,Novitas
435,NSCCL
436,Nucleus Financial
437,Numis Asset Management
438,Nutmeg
439,Nuveen
440,Nyland (family office)
441,NYSE Euronext
442,NYSE Liffe
443,Oak Group (Consortia)
444,Objectway
445,OCC
446,Oceanwood
447,Ocorian
448,Octopus Investments
449,Old Mutual
450,Old Mutual Wealth
451,Omnis Investments Ltd
452,Openwork
453,Oppenheimer
454,Oriflame Cosmetics SA
455,OTCDerivnet
456,Ownership Capital
457,Pan European Asset Company
458,Pantheon
459,Paradigm
460,Partnership
461,Peel Hunt
462,Pension Protection Fund
463,Pershing
464,Phoenix
465,Pictet
466,PIMCO
467,PIMFA
468,Platform Securities
469,Polianta
470,Premier Funds
471,Project Salmon
472,Proservice
473,Prudential
474,PSigma Investment Management
475,Punter Southall Financial Management
476,Punter Southall Wealth
477,Push Technology
478,PWC
479,PWC Japan
480,Qatar Foundation
481,Qatar Stock Exchange
482,Quai Administration Services
483,Quick
484,Quilter Cheviot Investment Management
485,Quilter Investors
486,Quintet Private Bank
487,Rabobank
488,Railsbank
489,Rand Merchant Bank
490,Rathbones
491,RBC
492,RBM
493,RBS
494,RBS Asset Management
495,RBS Securities Japan
496,RBSI
497,Real Return Group
498,Red Deer
499,Reval
500,Revolut
501,RICS
502,Rimes
503,Risk First
504,RMB Asset Management 
505,Robeco
506,Robert Clifford
507,Rothschild Wealth Management
508,Rowan Dartington
509,Royal Bank of Canada
510,Royal London Asset Management
511,Royal Mail Pension Scheme
512,RPMI
513,Ruffer
514,Russell Investments
515,RWC Partners
516,SAFCOM
517,SAFE
518,Salamanca
519,Saltgate
520,Saltus Investment Management
521,Sandaire Investment Office
522,Sanlam
523,Sanne
524,Santander
525,Santander Asset Management
526,Saranac Partners
527,Saudi Banks
528,Saudi Investment Bank
529,Saunderson House
530,Schroders
531,Schroders Private Wealth
532,SCM
533,Scotiabank
534,SEB
535,SEB PRIVATE BANK SA
536,Securities Board of Nepal
537,SEI
538,Sernova Financials Ltd
539,Seven Investments
540,SG Hambros
541,SGG
